variable,coef,se,z,p,odds_ratio,significance
const,-0.12668071395799496,0.3313269487234554,-0.38234352637500063,0.7022065733018044,0.8810149234628896,
svo,0.8474986130749838,0.2530414474927364,3.349248202112468,0.0008103117093064549,2.3338018032932153,***
risk,-0.5292879012236474,0.237789485464761,-2.2258675575547464,0.026023054003263046,0.5890242638287257,*
ambiguity,-0.19640450950302493,0.23146951879953626,-0.8485113310885685,0.3961532647202556,0.8216797901606728,
is_male,0.4142191604920664,0.44171511164256816,0.9377518440601796,0.34837195397402476,1.5131887217316664,
age,0.46252118097938116,0.22435102421851488,2.0615960305529595,0.03924621227148361,1.5880727608961185,*
cnt_approvals,0.34965430410355586,0.24037106889881668,1.454643879171422,0.14576787668720378,1.4185770675484584,
