variable,coef,se,z,p,odds_ratio,significance
const,1.523098205235455,0.5282627107573146,2.883221121271175,0.003936310193344712,4.586412853970061,**
svo,0.22648411366990331,0.2850493838991512,0.7945434246229842,0.42687913933688126,1.2541826853154998,
risk,-0.5056595014972189,0.34063921547788845,-1.4844430075022947,0.13769143230607203,0.603107693812648,
ambiguity,-0.14535746796266708,0.3076494447940205,-0.4724775890949121,0.6365859344543752,0.8647131306150972,
is_male,-0.7746432134786781,0.6380106841615019,-1.2141539831683916,0.2246889289404822,0.4608681832248534,
age,0.3366080073262275,0.3453451661571668,0.9747002139101519,0.32970898682044847,1.4001900918911834,
cnt_approvals,0.41995665928380144,0.30690708870236705,1.3683511223524323,0.17120219584905283,1.5218955941442056,
