variable,coef,se,z,p,odds_ratio,significance
const,2.1020889173599784,1.2181411454449118,1.7256529961412763,0.08440985897882797,8.18324619592545,
svo,1.844694575369561,0.8878627436441889,2.0776798988074474,0.03773885165825898,6.326167327988037,*
risk,0.17456393489253774,0.49908518065351054,0.3497678185193974,0.7265129524460372,1.1907268689458246,
ambiguity,-1.0216971927446394,0.8281744482106065,-1.2336738895436432,0.21732444722895605,0.35998346010341054,
is_male,-0.4945529055569878,1.4501893563135528,-0.3410264345162233,0.7330836814493857,0.6098435039952772,
age,0.2895959456680286,0.40807478320404095,0.7096639086449703,0.47791257820732647,1.3358876077873894,
cnt_approvals,-0.7045970969751618,0.5482797963037636,-1.2851049805687054,0.19875560137734594,0.49430769220522636,
