variable,coef,se,z,p,odds_ratio,significance
const,0.282602349810041,0.36104498044661,0.7827344655518101,0.4337830584969147,1.3265775431082574,
svo,1.0121690686867273,0.2712559558493666,3.731416939832293,0.00019040579022874688,2.7515628757100323,***
risk,-0.0696270243627344,0.23719243145381905,-0.29354656864880047,0.7691044097238198,0.932741644946211,
ambiguity,-0.02208451885256779,0.23539264326687806,-0.09381991954408411,0.925252207969714,0.9781575588029079,
is_male,0.0026814761501133457,0.48574730654142784,0.005520310898285241,0.9955954515340164,1.0026850745228832,
age,-0.1609425659715417,0.24474338510314858,-0.6575972049406421,0.5107969910672723,0.8513409656442811,
cnt_approvals,0.13680334773523586,0.2402024988615577,0.5695334077855841,0.5689942056966149,1.1466026443413768,
