variable,coef,se,z,p,odds_ratio,significance
const,2.15370004642805,0.7452651695327503,2.88984395685408,0.0038543309659501033,8.616681609200791,**
svo,1.239190617295214,0.8629435689189593,1.4360042324060576,0.15100113692809344,3.4528176825713737,
risk,0.258853356277666,0.7969504663980995,0.32480482437958863,0.7453287930285274,1.2954438221943474,
ambiguity,0.21387793960858376,0.5743948861343433,0.37235348846500793,0.7096296789496244,1.2384714772539738,
is_male,14.357908252502657,355.68200347341906,0.04036726095863789,0.9678003309346228,1720126.2590202806,
age,-1.568172157712478,1.0094053087794734,-1.5535604420474467,0.12028930133797816,0.20842580389114404,
cnt_approvals,0.025155422106987773,0.7944100877805362,0.031665537099696564,0.9747387785065564,1.0254744895452008,
