variable,coef,se,z,p,odds_ratio,significance
const,1.3349137699051554,0.5222074555368547,2.5562901405396428,0.010579486474804316,3.7996682865356752,*
svo,0.7888967213154354,0.30517005456691504,2.585105286411557,0.009734926523974228,2.200966806465515,**
risk,0.08596046864370309,0.3770775199009779,0.22796497830546,0.8196734669562988,1.0897632476343941,
ambiguity,-0.6761464420946481,0.34094431847028844,-1.9831579688094167,0.047349787138645946,0.5085730367260204,*
is_male,0.21449375561546333,0.6942644449462281,0.3089510879850346,0.7573587338902248,1.2392343826943117,
age,0.23165023222711573,0.33260094563367526,0.696480978987516,0.4861276651909344,1.260678706921558,
cnt_approvals,0.13045017078016927,0.39122746112283663,0.3334381753412009,0.7388035505157152,1.1393411659976502,
