variable,coef,se,z,p,odds_ratio,significance
const,0.6731795208613436,0.34303130232969625,1.962443416357185,0.04971088223223436,1.9604607474797564,*
svo,0.7294936701630587,0.2546500131524466,2.8646912722770845,0.0041741597983971975,2.074030198397619,**
risk,-0.2766458046721464,0.23134215070375955,-1.1958296567684266,0.2317630401853965,0.7583230440278674,
ambiguity,0.2141721260938491,0.2489508671469378,0.8602987752094823,0.38962436786421306,1.2388358724224073,
is_male,0.3481930026950634,0.502707804713561,0.6926349649444195,0.48853866191065753,1.4165056127601103,
age,0.009030917740007048,0.2883287785146868,0.03132159677757257,0.9750130671184697,1.0090718195117476,
cnt_approvals,0.13010039310053248,0.24942803823860665,0.521594901757101,0.601952413757151,1.1389427195761876,
