participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.pid,player.is_coop,player.action,player.partner_action,player.rt,player.is_dropout,player.condition,group.id_in_subsession,group.has_dropout,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
17,d9d35sd9,6328817c90a7f703ded34c91,0,32,32,Thanks,MyPage,2024-03-20 16:38:54.655181,1,,,150.0,2,,150.0,,1,Invest,Invest,8.612,0,SQ,2,0,1,7reoo3kl,,,,,0
18,xfdmmc1r,58935d5d4d77be0001689f14,0,20,32,kicked_out,MyPage,2024-03-20 16:38:55.603077,1,,,0.0,1,,0.0,,,Not yet,Not yet,,1,SQ,46,1,1,7reoo3kl,,,,,0
19,x4vc2b27,6276d97e209059496d37bf74,0,32,32,Thanks,MyPage,2024-03-20 16:38:57.366227,1,,,150.0,2,,150.0,,1,Invest,Invest,4.631,0,SQ,15,0,1,7reoo3kl,,,,,0
20,mhenzpne,138007731E6095975L6n5O6Z,0,1,32,Consent_general,ConsentPage,2024-03-20 16:38:59.739791,1,,,0.0,20,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
21,jxztfgoz,63d15e1be853005ff591b935,0,32,32,Thanks,MyPage,2024-03-20 16:39:04.017939,1,,,150.0,1,,150.0,,1,Invest,Invest,3.358,0,SQ,8,0,1,7reoo3kl,,,,,0
22,cn0au0kp,59565b1bbbb52400017ad4e1,0,32,32,Thanks,MyPage,2024-03-20 16:39:04.671797,1,,,200.0,2,,200.0,,0,Keep,Invest,4.382,0,SQ,23,0,1,7reoo3kl,,,,,0
23,zcdvhzhw,65f506b13213d7223ce26cd8,0,32,32,Thanks,MyPage,2024-03-20 16:39:06.315908,1,,,100.0,2,,100.0,,0,Keep,Keep,3.007,0,SQ,25,0,1,7reoo3kl,,,,,0
24,0kne3c46,641357b26802e397b5627d5e,0,4,32,Intro_SQ,GameIntroPage,2024-03-20 16:39:07.519798,1,,,0.0,24,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
25,9llbimqa,642c4f6e95f13dc4c1b54712,0,32,32,Thanks,MyPage,2024-03-20 16:39:07.666831,1,,,150.0,2,,150.0,,1,Invest,Invest,6.946,0,SQ,22,0,1,7reoo3kl,,,,,0
26,qndvkm8r,5bc913d99427200001dd47f5,0,32,32,Thanks,MyPage,2024-03-20 16:39:08.061097,1,,,100.0,2,,100.0,,0,Keep,Keep,9.767,0,SQ,13,0,1,7reoo3kl,,,,,0
27,0by00w8e,60de9c66c01a9de405e9efb0,0,2,32,Consent_general,GeneralIntroPage,2024-03-20 16:39:08.677983,1,,,0.0,27,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
