participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.pid,player.is_coop,player.action,player.partner_action,player.rt,player.is_dropout,player.condition,group.id_in_subsession,group.has_dropout,group.is_ready,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
103,n9vx51wn,654ba95a19813f11335c3098,0,6,29,Intro_ST,TestPage,2024-03-20 15:27:49.835147,1,,,0.0,103,,0.0,,,Not yet,Not yet,,0,ST,1,0,0,1,slvfalvu,,,,,0
104,31idpyk4,65814eeb46e0e08413c672b5,0,7,29,Intro_ST,TestAnsPage,2024-03-20 15:28:33.793641,1,,,0.0,104,,0.0,,,Not yet,Not yet,,0,ST,1,0,0,1,slvfalvu,,,,,0
105,meoh7lty,62dc2f6e1e5f78dd81cb4920,0,29,29,Thanks,MyPage,2024-03-20 15:29:11.546924,1,,,50.0,2,,50.0,,1,Invest,Keep,5.139,0,ST,39,0,1,1,slvfalvu,,,,,0
106,1uhk1zk3,648a3e85644594030e52bcfd,0,29,29,Thanks,MyPage,2024-03-20 15:30:06.428821,1,,,50.0,2,,50.0,,1,Invest,Keep,8.832,0,ST,38,0,1,1,slvfalvu,,,,,0
107,2jomm6gy,58509fbda6946500016117ed,0,29,29,Thanks,MyPage,2024-03-20 15:31:45.106945,1,,,200.0,2,,200.0,,0,Keep,Invest,2.356,0,ST,37,0,1,1,slvfalvu,,,,,0
108,f1evc37l,5c6a36214fbf270001311702,0,29,29,Thanks,MyPage,2024-03-20 15:32:03.432378,1,,,50.0,2,,50.0,,1,Invest,Keep,10.886,0,ST,44,0,1,1,slvfalvu,,,,,0
109,440ep0oh,63ca0371da16422efc4d483f,0,17,29,kicked_out,MyPage,2024-03-20 15:34:11.489824,1,,,0.0,2,,0.0,,,Not yet,Not yet,,1,ST,45,1,0,1,slvfalvu,,,,,0
110,ib0axx52,5e07d174da6bad1342bafab2,0,29,29,Thanks,MyPage,2024-03-20 15:34:25.450001,1,,,50.0,2,,50.0,,1,Invest,Keep,4.614,0,ST,42,0,1,1,slvfalvu,,,,,0
111,b08gjziv,564e93659b124900127eb55b,0,16,29,not_completed,MyPage,2024-03-20 15:38:22.964918,1,,,0.0,1,,0.0,,,Not yet,Not yet,,0,ST,50,0,0,1,slvfalvu,,,,,0
112,8j5rmfkx,5f79bca83a2eb65c0983816d,0,16,29,not_completed,MyPage,2024-03-20 15:44:37.121350,1,,,0.0,1,,0.0,,,Not yet,Not yet,,0,ST,48,0,0,1,slvfalvu,,,,,0
