Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63d95703725d931df4950aa5,5e8b89d0afcb1606e761ef7f,APPROVED,2023-01-31T17:59:31.719000Z,2023-01-31T18:13:22.488000Z,2023-02-01T04:41:19.792000,2023-01-31T18:13:23.047860Z,831,C1MW0K8M,3423,33,Male,White,United States,United States,United States,English,No,Full-Time
63d95703e1244a854cd7a3f2,5c573f18d3cc6b0001d9dbc3,APPROVED,2023-01-31T17:59:31.963000Z,2023-01-31T18:43:58.302000Z,2023-02-01T04:41:19.890000,2023-01-31T18:43:58.692408Z,2667,C1MW0K8M,917,DATA_EXPIRED,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63d95703e996419c5e4b6087,61506f90721dcdeca6e77c2d,APPROVED,2023-01-31T17:59:44.968000Z,2023-01-31T18:28:30.538000Z,2023-02-01T04:41:19.977000,2023-01-31T18:28:31.060358Z,1726,C1MW0K8M,1376,26,Male,White,United States,United States,United States,English,No,Full-Time
63d957042ef15377350eb4a2,5d2df745da13f60018d14b64,APPROVED,2023-01-31T17:59:34.283000Z,2023-01-31T18:19:20.982000Z,2023-02-01T04:41:20.066000,2023-01-31T18:19:21.490359Z,1187,C1MW0K8M,3398,40,Male,White,United States,United States,United States,English,No,Full-Time
63d957047cc03e9535ba1415,5fadeb340e10471fdeb5fbf5,APPROVED,2023-01-31T17:59:32.655000Z,2023-01-31T18:18:37.987000Z,2023-02-01T04:41:20.157000,2023-01-31T18:18:39.989328Z,1146,C1MW0K8M,2083,24,Male,Mixed,United States,United States,United States,English,No,Part-Time
63d95705a86e016fe27211d1,63d805c8a212a2e5d8c999b4,APPROVED,2023-01-31T17:59:33.214000Z,2023-01-31T18:07:54.587000Z,2023-02-01T04:41:20.253000,2023-01-31T18:07:54.966095Z,502,C1MW0K8M,19,29,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
63d957071dc07094be98f125,5d6920acf59886000119e73e,APPROVED,2023-01-31T18:08:27.137000Z,2023-01-31T18:28:00.674000Z,2023-02-01T04:41:20.340000,2023-01-31T18:28:01.005421Z,1174,C1MW0K8M,379,43,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63d95707b9b851ffc8e18587,5f8275c36d72281a1c8a2927,APPROVED,2023-01-31T18:01:39.314000Z,2023-01-31T18:13:19.495000Z,2023-02-01T04:41:20.430000,2023-01-31T18:13:22.246371Z,701,C1MW0K8M,1943,45,Female,White,United States,United States,United States,English,No,Full-Time
63d957081f621c8a6d8f2c83,5eb81d360943fe74d6aba62b,APPROVED,2023-01-31T17:59:36.176000Z,2023-01-31T18:25:13.640000Z,2023-02-01T04:41:20.520000,2023-01-31T18:25:14.020860Z,1538,C1MW0K8M,2462,38,Male,Mixed,United States,United States,United States,English,No,Full-Time
63d95708e19ed91ac4f64d7e,56de362a6893b5000dea58f5,APPROVED,2023-01-31T17:59:43.604000Z,2023-01-31T18:13:53.489000Z,2023-02-01T04:41:20.607000,2023-01-31T18:13:53.836614Z,850,C1MW0K8M,571,48,Female,White,United States,United States,United States,English,No,Full-Time
